Wall time,Step,Value
1701010515.17341,608,0.004417924210429192
1701010517.1806185,637,0.017384154722094536
1701010518.1954281,652,0.004768782295286655
1701010518.2644353,653,0.008315547369420528
1701010520.047886,679,0.0034444660414010286
1701010520.9691517,693,0.008694316260516644
1701010521.205271,697,0.06499127298593521
1701010522.564723,718,0.0028527819085866213
1701010524.9611807,754,0.0251617431640625
1701010525.4897037,762,0.007213089149445295
1701010526.74353,781,0.00428803451359272
1701010527.5399027,793,0.0018004371086135507
1701010529.2777834,819,0.003043716074898839
1701010530.3605773,834,0.00976185966283083
1701010531.381818,849,0.0020587884355336428
1701010532.9314651,872,0.00823243334889412
1701010533.14165,875,0.0044733029790222645
1701010535.228499,906,0.00558852031826973
1701010535.435188,909,0.016062404960393906
1701010538.727454,956,0.0044593908824026585
1701010540.102319,976,0.0012984605273231864
1701010541.2765746,992,0.0012575244763866067
1701010542.1561038,1005,0.023738693445920944
1701010543.6984596,1027,0.0038557962980121374
1701010544.2766573,1036,0.014689275063574314
1701010545.2664495,1051,0.0005075198714621365
1701010545.5375333,1055,0.011735525913536549
1701010546.1695604,1065,0.001585529069416225
1701010546.567762,1071,0.00490995217114687
1701010548.5881755,1100,0.005274494644254446
1701010550.1982093,1123,0.008360589854419231
1701010550.5273812,1128,0.017392678186297417
1701010550.6500068,1130,0.0007262483704835176
1701010551.714601,1146,0.0016062359791249037
1701010552.1023812,1152,0.007738308981060982
1701010572.418373,1184,0.002068462548777461
1701010572.5417829,1186,0.00811490323394537
1701010575.2972054,1227,0.009523055516183376
1701010575.6747735,1233,0.006182455457746983
1701010575.7374802,1234,0.0017972971545532346
1701010576.6477604,1248,0.015173709951341152
1701010577.7370677,1265,0.015876179561018944
1701010580.8767807,1311,0.0023478507064282894
1701010583.7929442,1354,0.016195330768823624
1701010584.5619907,1365,0.002542735543102026
1701010586.576127,1394,0.0016457084566354752
1701010590.1301165,1447,0.03484402969479561
1701010590.7749865,1456,0.03515971824526787
1701010592.1414785,1476,0.008845998905599117
1701010595.8826637,1532,0.026866130530834198
1701010599.5583873,1589,0.0022434070706367493
1701010600.7665532,1605,0.0025742347352206707
1701010601.2171357,1612,0.00934066716581583
1701010601.4874268,1616,0.0007998262299224734
1701010602.2342548,1627,0.002585842041298747
1701010603.516839,1646,0.0075665432959795
1701010604.4926047,1661,0.003581549506634474
1701010604.8821416,1667,0.003570161061361432
1701010606.3274782,1688,0.004064712207764387
1701010607.1098092,1699,0.0029569233302026987
1701010607.2305138,1701,0.030880246311426163
1701010608.1656919,1715,0.002378524513915181
1701010608.6609733,1722,0.007410852704197168
1701010609.9296136,1741,0.004588468465954065
1701010609.9906955,1742,0.01673903688788414
1701010610.8043933,1754,0.018001491203904152
1701010611.5156631,1764,0.00490208575502038
1701010611.660326,1766,0.0016341955633834004
1701010612.5983143,1774,0.008855623193085194
1701010614.862539,1808,0.0032454130705446005
1701010615.3251698,1815,0.00684787193313241
1701010617.1284037,1842,0.014470279216766357
1701010617.2471735,1844,0.0013280786806717515
1701010617.4399097,1847,0.0012192805297672749
1701010617.6986427,1851,0.006539876107126474
1701010618.0801215,1857,0.003383047180250287
1701010618.3351052,1861,0.002051083603873849
1701010620.0766132,1888,0.003554696450009942
1701010621.9662805,1915,0.0036611263640224934
1701010623.3930967,1935,0.0006978008896112442
1701010625.3740053,1965,0.001750696450471878
