Wall time,Step,Value
1701012099.9300282,608,0.27612027525901794
1701012101.9512606,637,0.08376539498567581
1701012102.940872,652,0.0974460318684578
1701012103.0044594,653,0.08287152647972107
1701012104.8716655,679,0.049351733177900314
1701012105.938932,693,0.06560764461755753
1701012106.2179594,697,0.03289558365941048
1701012107.720481,718,0.07344458252191544
1701012110.2482986,754,0.039411671459674835
1701012110.8139353,762,0.025383608415722847
1701012112.0656004,781,0.04887785017490387
1701012112.9195812,793,0.02404053322970867
1701012114.7069643,819,0.036185696721076965
1701012115.7391906,834,0.09602130949497223
1701012116.944833,849,0.018010815605521202
1701012118.5356114,872,0.0212172269821167
1701012118.73384,875,0.056308165192604065
1701012121.0583773,906,0.042266953736543655
1701012121.315132,909,0.01714494451880455
1701012124.5678303,956,0.03584851697087288
1701012125.973101,976,0.07980331033468246
1701012127.0814404,992,0.02693472057580948
1701012128.009023,1005,0.022523071616888046
1701012129.6502218,1027,0.023672183975577354
1701012130.3224585,1036,0.08248380571603775
1701012131.334177,1051,0.02786276489496231
1701012131.617729,1055,0.04422323778271675
1701012132.3711426,1065,0.019608380272984505
1701012132.8193102,1071,0.019052499905228615
1701012135.220014,1100,0.038160521537065506
1701012137.0136075,1123,0.019515356048941612
1701012137.5289352,1128,0.02333441562950611
1701012137.7307456,1130,0.03614971414208412
1701012139.1463208,1146,0.02346404828131199
1701012139.596711,1152,0.013168505392968655
1701012162.8414023,1184,0.06374578922986984
1701012162.9685142,1186,0.027864664793014526
1701012165.8445175,1227,0.054913654923439026
1701012166.289971,1233,0.025125330314040184
1701012166.356677,1234,0.01705455221235752
1701012167.3589447,1248,0.05301845073699951
1701012168.6627057,1265,0.01576666347682476
1701012172.1161911,1311,0.01874506287276745
1701012175.0691054,1354,0.024386294186115265
1701012175.8795595,1365,0.025782939046621323
1701012177.7660224,1394,0.01381238829344511
1701012181.594303,1447,0.00931224413216114
1701012182.201798,1456,0.013260780833661556
1701012183.730952,1476,0.015021413564682007
1701012187.943043,1532,0.035066697746515274
1701012192.0770946,1589,0.013624525628983974
1701012193.1757312,1605,0.015535520389676094
1701012193.6665654,1612,0.030043764039874077
1701012193.9811888,1616,0.020595574751496315
1701012194.8181543,1627,0.018109939992427826
1701012196.1289313,1646,0.013840657658874989
1701012197.2739506,1661,0.015274358913302422
1701012197.6783223,1667,0.022150615230202675
1701012199.2047915,1688,0.026834381744265556
1701012200.1694515,1699,0.02114388532936573
1701012200.332672,1701,0.01851358264684677
1701012201.3470411,1715,0.03946032002568245
1701012201.90609,1722,0.04868217185139656
1701012203.2628946,1741,0.011357049457728863
1701012203.3341002,1742,0.007940762676298618
1701012204.1606236,1754,0.016452262178063393
1701012204.8818114,1764,0.025305883958935738
1701012205.015205,1766,0.013500171713531017
1701012206.0206134,1774,0.010141955688595772
1701012208.4504402,1808,0.015754910185933113
1701012208.9497077,1815,0.009924070909619331
1701012210.9373674,1842,0.007318675518035889
1701012211.0629342,1844,0.005681382492184639
1701012211.2839854,1847,0.009949127212166786
1701012211.5460074,1851,0.027516113594174385
1701012211.9609196,1857,0.022336913272738457
1701012212.245721,1861,0.024895865470170975
1701012214.3747547,1888,0.021037722006440163
